set I := 0, 3, 11, 21, 23, 32, 35, 42, 45, 46, 48, 51, 52, 54, 55, 61, 64, 73, 74, 75, 77, 78, 80, 81, 82, 83, 85, 94, 95, 97, 101, 102, 115, 117, 118, 119, 125, 136, 138, 139, 140, 141, 142, 143, 144, 146, 147, 155, 168, 173, 189, 205, 208, 213, 220, 222, 227, 232, 233, 235, 240, 253, 263, 268, 270, 272, 281, 285, 290, 292, 293, 295, 296, 299, 301, 307, 317, 322, 323, 325, 326, 330, 341, 345, 346, 349, 359, 361, 363, 368, 370, 373, 375, 377, 394, 399, 400, 402, 403, 409, 412, 421;

set L := 1, 2, 396, 15, 148, 279, 407, 24, 153, 154, 27, 28, 158, 29, 30, 33, 34, 283, 164, 37, 38, 419, 40, 297, 308, 60, 188, 65, 68, 328, 79, 85, 90, 91, 351, 107, 238, 111, 110, 242;

param BI :=
0 29753
3 30819
11 37554
21 21958
23 27617
32 28763
35 23934
42 38966
45 33847
46 32582
48 36190
51 34845
52 35553
54 37844
55 39102
61 32337
64 28045
73 34054
74 27272
75 22528
77 37060
78 30747
80 21561
81 36252
82 39382
83 37152
85 39385
94 27580
95 32215
97 39172
101 38369
102 39571
115 36083
117 21394
118 35448
119 26034
125 39026
136 35309
138 25847
139 33824
140 24847
141 35971
142 39695
143 24714
144 24759
146 20052
147 35035
155 32992
168 31548
173 25586
189 38691
205 20814
208 31495
213 23659
220 38024
222 25233
227 31066
232 37653
233 25187
235 29383
240 20638
253 32982
263 32760
268 28282
270 26360
272 31746
281 34810
285 35227
290 25184
292 23989
293 22425
295 30220
296 27904
299 31520
301 36722
307 38663
317 34890
322 32011
323 35228
325 21136
326 20829
330 38453
341 32882
345 22501
346 22045
349 29832
359 38382
361 31747
363 31330
368 25210
370 25538
373 36733
375 21247
377 25497
394 28988
399 21142
400 32608
402 35482
403 36277
409 33630
412 29372
421 20942
;

param BL :=
1 17085
2 23507
15 22338
24 30572
27 28258
28 26348
29 24965
30 29359
33 30887
34 21211
37 30156
38 29591
40 24990
60 22194
65 27000
68 31137
79 17126
90 18109
91 26269
107 18427
110 25191
111 28120
148 27566
153 27369
154 17149
158 20189
164 28999
188 25468
238 23825
242 24381
279 31498
283 30440
297 28983
308 30234
328 24032
351 28883
396 20972
407 25080
419 28663
;

param KI :=
0 44
3 48
11 64
21 78
23 42
32 90
35 40
42 12
45 6
46 16
48 22
51 68
52 30
54 44
55 66
61 38
64 34
73 30
74 44
75 40
77 62
78 64
80 68
81 36
82 14
83 76
85 20
94 56
95 80
97 46
101 40
102 44
115 40
117 18
118 88
119 50
125 42
136 24
138 34
139 54
140 62
141 12
142 70
143 28
144 72
146 68
147 30
155 52
168 60
173 54
189 62
205 36
208 34
213 50
220 2
222 28
227 36
232 16
233 26
235 40
240 42
253 32
263 34
268 62
270 16
272 72
281 62
285 30
290 34
292 12
293 58
295 58
296 68
299 42
301 14
307 22
317 38
322 16
323 76
325 18
326 16
330 10
341 10
345 24
346 22
349 22
359 16
361 14
363 76
368 28
370 36
373 54
375 54
377 2
394 20
399 40
400 16
402 4
403 6
409 8
412 20
421 12
;

param KL :=
1 30
2 20
15 38
24 28
27 12
28 32
29 4
30 12
33 42
34 4
37 14
38 14
40 30
60 30
65 12
68 32
79 38
90 26
91 28
107 16
110 22
111 42
148 52
153 62
154 28
158 38
164 36
188 84
238 36
242 64
279 62
283 72
297 38
308 96
328 20
351 2
396 16
407 16
419 6
;

param Perd := 50000;
param M := 974;
